Respondent ID,U.S.A. or International,U.S. East or West Coast,Lake or Sea,Question 2,Question 3,Question 3R,Question 4,Question 4R,Question 5,Question 5R,Question 5 Add,Question 5 Add2,Question 6,Question 6P,Question 6P2,Question 6P3,Question 6R,Question 7,Question 7R,Question 8S1,Question 8S2,Question 8S3,Question 8S4,Question 8S5,Question 8P1,Question 8P2,Question 8P3,Question 8R,Question 9,Question 9P1,Question 9P2,Question 9R,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 16R,Question 17S1,Question 17S2,Question 17S3,Question 17S4,Question 17S5,Question 17S6,Question 17S7,Question 17S8,Question 17R,Question 18P1,Question 18P2,Question 19,Question 20,Question 20 Response,Question 21
11,U.S.A.,West,Sea,"Bainbridge Island, WA",An entire day,,Yes,,Yes,Furuno,Furuno,,Yes,Furuno,,,Furuno,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Navionics,,,Navionics,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,Monetary Reward,,2,,Yes,Updated data,,"I have several.    I would need details of what is collected, what is uploaded and how that data and my contact information would be used.    I would also like to know what kind of vetting process goes into the collected data."
12,U.S.A.,East,Sea,New Bedford Ma.,Overnight trips,,No,April -October,Yes,Data Marine ,DataMarine,,Yes,Garmin,,,Garmin ,No,,,,Paper Charts,GPS Chart Plotter,,Garmin BlueChart,,,Garmin,No,,,,Yes,Yes,Active data collection,Automatic upload,It would depend.,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,Increased Reputation,,,,,5,,Yes,New hardware,,
13,U.S.A.,Gulf,Sea,"Kemah,Texas",Overnight trips,,Yes,,Yes,Garmin,Garmin,,NaN,,,,,NaN,,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,,,,,Yes,,,Varies,Yes,Yes,Option to switch,Automatic upload,Yes,Yes,More,I’m a retired Master and would be willing to go wherever along the Gulf Coast as required,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,Certificate of Recognition,,,,6,,Yes,New hardware,,I’m fine with being a part of a collective effort to improve and enhance maritime safety 
14,U.S.A.,East,Sea,"Niantic, CT",An entire day,,No,8,Yes,SimRad and Raymarine,Simrad ,Raymarine,Yes,Simrad,,,SimRad,Yes,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Skipper,,,"Skipper, SimRad",No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,3,Yes,Either,Either of the above,Data would have to be anonymized upon request.  No selling of data to partners or third parties.  No PII.
15,U.S.A.,West,Sea,"Oak Harbor, WA",A few hours,,No,June 1 through September 30,Yes,Lowrance Hook,Lowrance,,No,,,,,No,,Phone or Tablet Application,,,,,Garmin BlueChart,,,Blue Chart,No,,,,Yes,Yes,Passive data collection,Manual upload,Yes,Yes,2 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,3,,Yes,Updated data,,
16,U.S.A.,East,Sea,"Deltaville, Virginia",A few hours,,No,May-Dec,Yes,Raymarine,Raymarine,,Yes,Raymarine,,,Raymarine,No,,,,,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Passive data collection,Automatic upload,It would depend.,No,NaN,,Increased Knowledge,,,Social Network,,,,,,4,,Yes,New hardware,,
17,U.S.A.,East,Sea,"Wilmington, NC",A few hours,,Yes,,Yes,,,,No,,,,,No,,Phone or Tablet Application,Navigational Software on Laptop,,,,,,,,No,,,,Yes,Yes,Active data collection,Automatic upload,It would depend.,Yes,More,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,Certificate of Recognition,,,,2,,Yes,Updated data,,
18,U.S.A.,East,Sea,"Ponce Inlet, Florida",An entire day,,Yes,,Yes,Garmin GPSMap 541s,Garmin,,Yes,Garmin,,,"Garmin GPSMap 541s, Garmin GPSMap 78sc, Furuno GP32",No,,,,,GPS Chart Plotter,,Garmin BlueChart,,,Garmin BlueChart,No,,,,Yes,No,Option to switch,Mail in thumb drive,Yes,No,NaN,,,Updated Data,,Social Network,,,,,,,,Yes,Updated data,,
19,U.S.A.,NaN,Lake,"Bullfrog, UT",An entire day,,No,April/Nob,Yes,,,,Yes,,,,,No,,,,Paper Charts,GPS Chart Plotter,,,,,No real charts for lake Powell ,No,,,,Yes,Yes,Option to switch,Manual upload,Yes,Yes,5 nm,,,Updated Data,,,,,,,,,,Yes,Updated data,,
20,U.S.A.,West,Sea,"Everett, WA",All of the above,All of the above....really!,Yes,,Yes,Old Furuno,Furuno,,Yes,Garmin,,,Garmin 525 & 455,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,More,,Increased Knowledge,Updated Data,Streamlined Navigational App,,Increased Reputation,,,,,1,,Yes,New hardware,,
21,U.S.A.,East,Sea,"Newport, RI",A few hours,,No,,Yes,,,,Yes,,,,,No,,Phone or Tablet Application,,,,,,,,,Yes,,,,Yes,Yes,Option to switch,Manual upload,Yes,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,1,,Yes,Updated data,,
22,U.S.A.,East,Sea,"Rock Hall, Maryland",All of the above,Both day sails and longer cruises,No,March-November,Yes,Ray marine 60,Raymarine,,Yes,Garmin,Standard Horizon,Bad Elf,"Multiple units: Garmin 546, SH VHF 2200, Bad Elf 200/iPad with INavX, SH 870 handheld, back to the backups Magellan handheld in the dithchbag",Yes,SH 2200VHF/GPS/AIS receiver. No transponder,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,iNavX,Garmin BlueChart,,"INavX w/Bad Elf, Garmin 546",Yes,One time,0 - 25,App cost $25,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,More,"If I were cruising and the collection site wa interesting, I might reroute a whole cruise. New places are good.",Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,Increased Reputation,,,,,4,,Yes,Updated data,Intrinsic motivation: pushing back the frontiers of his man knowledge.,"I would expect that crowd sourced data would not be used in a proprietary way- that it would be open to public use. Locking mariners out with a pay wall would not work for me.  FYI: I cruise from Md to down east Me, (passing by NJ as quickly as possible) but sail my native NH coast as much as possible."
23,U.S.A.,NaN,Lake,"Phoenix, Arizona",An entire day,,Yes,,Yes,"Hummingbird, Matrix 75",Hummingbird,,Yes,Hummingbird,Standard Horizon,,"Hummingbird, Matrix 75",No,No service in Arizona,,,,GPS Chart Plotter,,,,,There are no NOAA charts of local lakes.,No,,,,Yes,Yes,Option to switch,Manual upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,Monetary Reward,I am with the Coast Guard Auxiliary.  There are several thousand of us with boats.  Let us (elp.,2,,Yes,Updated data,,I am a bit concerned sbout privacy.  I would need to know that my PII was protected.
24,U.S.A.,NaN,Lake,"Monroe, MI",An entire day,,No,April through October,Yes,Lowrance Hook 7,Lowrance,,Yes,Lowrance,,,Lowrance Hook 7,No,,,,Paper Charts,,,,,,,No,,,,Yes,Yes,Passive data collection,Manual upload,It would depend.,No,NaN,,Increased Knowledge,,Streamlined Navigational App,,,,,,,3,,Yes,New hardware,,
25,U.S.A.,NaN,Lake,Catawba Island OH,Overnight trips,,No,8,Yes,Datamarine,DataMarine,,Yes,Garmin,,,Garmin,No,,Phone or Tablet Application,,Paper Charts,,,Navionics,,,Navionics,Yes,One time,0 - 25,$10,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,2 nm,,Increased Knowledge,Updated Data,,Social Network,,,,,,2,,Yes,New hardware,,
26,U.S.A.,NaN,Lake,Burlington vermont,A few hours,,No,,Yes,,,,No,,,,,No,,Phone or Tablet Application,,Paper Charts,,,,,,,Yes,Annually,0 - 25,$10/year,Yes,Yes,Passive data collection,Automatic upload,It would depend.,Yes,1 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,,,Yes,New hardware,,
27,U.S.A.,East,Sea,"King George, VA",Overnight trips,,Yes,,Yes,,,,Yes,,,,,No,,,,,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Active data collection,Automatic upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,,,Yes,Updated data,,
28,U.S.A.,East,Sea,"Urbanna, VA",An entire day,,Yes,,Yes,,,,Yes,,,,Navionics tablet ,No,,Phone or Tablet Application,,Paper Charts,,,Navionics,,,Navionics ,Yes,Annually,25 - 50,$49/ year ,Yes,Yes,Active data collection,Automatic upload,It would depend.,Yes,5 nm,,Increased Knowledge,Updated Data,,,,,,,,1,,Yes,New hardware,,
29,U.S.A.,East,Sea,"Wareham, MA",Overnight trips,,No,May-October,Yes,Raymarine,Raymarine,,Yes,Raymarine,,,Raymarine,No,,Phone or Tablet Application,Navigational Software on Laptop,,GPS Chart Plotter,,OpenCPN,Navionics,iSailGPS,,No,,,,Yes,Yes,Option to switch,Automatic upload,It would depend.,Yes,1 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,3,Yes,New hardware,,
30,U.S.A.,NaN,Lake,"Milwaukee, Wi",Overnight trips,,No,April thru Oct,Yes,Garmin 5212,Garmin,,Yes,Garmin,,,Garmin ,Yes,Receiver only,,,,GPS Chart Plotter,,Garmin BlueChart,,,Garmin,No,,,,Yes,Yes,Active data collection,Manual upload,Yes,No,NaN,,Increased Knowledge,Updated Data,,,,,,,,,,No,,,This concept is already available they Activecaptain.com and Navtronics charts.
31,U.S.A.,East,Sea,"Annapolis, MD",All of the above,"All of the above. Sometimes a day sail, sometimes all day, sometimes overnight for a weekend trip",No,Not in Dec - early March,Yes,"We have a depth gauge, nothing fancy just tells us the depth.",,,Yes,,,,Old not great,No,,Phone or Tablet Application,,,,,Navionics,,,"Navionics paid app, chart book",Yes,Annually,50 - 100,50/year I think,Yes,Yes,Option to switch,Automatic upload,Yes,NaN,1 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,Increased Reputation,Certificate of Recognition,Gamification,Monetary Reward,,,,Yes,New hardware,,
32,U.S.A.,East,Sea,"York, Maine",Overnight trips,About 3-5 weeks cruising from York to Acadia NP,No,June-august,Yes,Depth - standard horizon,Standard Horizon,,Yes,Garmin,,,Garmin,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Navionics,,,Navionics,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,Monetary Reward,Ability to possibly use some the data to publish other articles,2,,Yes,Either,Either of the above,
33,U.S.A.,East,Sea,Salem MA,A few hours,,No,May - Oct.,Yes,Raymarine.  Not sure which model.  Circa 2004.,Raymarine,,Yes,Raymarine,,,Raymarine.  Not sure which model.  Circa 2004.,No,,,,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,No,NaN,,Increased Knowledge,,,,,,,,,1,,No,,,
34,U.S.A.,East,Sea,"Boothbay Harbor, Maine",Overnight trips,,No,,Yes,,,,Yes,,,,,Yes,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Active data collection,Manual upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,2,,Yes,Updated data,,
35,International,NaN,Sea,"East London, South Africa",An entire day,,Yes,,Yes,,,,Yes,,,,,Yes,,,,,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,NaN,Manual upload,Yes,Yes,More,,,Updated Data,,,,,,,,,,No,,,
36,U.S.A.,East,Sea,Sayville New York,An entire day,,No,May-Nov,Yes,Navionics ,,,Yes,Garmin,,,Garmin,No,,Phone or Tablet Application,Navigational Software on Laptop,,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Active data collection,Automatic upload,Yes,Yes,More,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,Monetary Reward,,2,,Yes,New hardware,,
37,U.S.A.,East,Sea,"Virginia Beach, VA",An entire day,,No,April to October,Yes,DataMarine ,DataMarine,,Yes,Garmin,,,Garmin 546,Yes,Receive only,Phone or Tablet Application,,,GPS Chart Plotter,,Garmin BlueChart,MX Mariner,Marine Navigator,"Garmin homeport, MX mariner and Marine Navigator",Yes,One time,0 - 25,$10,Yes,Yes,Passive data collection,Automatic upload,No,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,Increase the knowledge of our local port,3,,Yes,New hardware,,Data must not be sold for profit like Active Captain just did
38,U.S.A.,NaN,Lake,Alburgh Vermont,An entire day,,No,March to November,Yes,Lorance hds5,Lowrance,,Yes,Lowrance,,,Lorance hds5,NaN,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Navionics,,,Navionics plus,Yes,One time,0 - 25,20,Yes,Yes,Option to switch,Manual upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,,Yes,Updated data,,
39,U.S.A.,NaN,Lake,Chicago Il.,A few hours,,No,May to Oct.,Yes,Navman,Navman,,Yes,Garmin,,,Garmin ,No,,,,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Automatic upload,Yes,Yes,2 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,Increased Reputation,,,,,1,3,Yes,New hardware,,
40,U.S.A.,West,Sea,"Yuba City, CA",A few hours,,Yes,,Yes,Lowrance HDS-7 Gen 3 83/200 & LSS-2 455/800,Lowrance,,Yes,Lowrance,,,Lowrance HDS-7 Gen 3 w/ Point-1 Antenna,Yes,Receive-Only,Phone or Tablet Application,,,GPS Chart Plotter,,Navionics,,,Navionics Boating / Navionics+ (both US & Canada),Yes,Annually,100 - 200,$150/year,Yes,Yes,Active data collection,Manual upload,Yes,No,NaN,,,Updated Data,Streamlined Navigational App,,,,,Monetary Reward,Discount on future Navionics fees/purchases.,8,,Yes,New hardware,,Data likely not accurate unless everyone has GPS antennas directly over their transducers.
41,U.S.A.,East,Sea,"Rockland, Maine",Overnight trips,,No,May through September,Yes,Raymarine St-40,Raymarine,,Yes,Garmin,,,Garmin echomap 74 dv chirp,Yes,reciever only in Standard VHF,,,,GPS Chart Plotter,,Garmin BlueChart,,,Garmin echomap 74 dv,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,3,,Yes,New hardware,,
42,U.S.A.,East,Sea,"South Portland, Maine",A few hours,,No,May to october,No,,,,Yes,,,,,No,,,,Paper Charts,GPS Chart Plotter,,Garmin BlueChart,,,Harmon handheld 276 ,No,,,,Does not own smart device,Yes,Option to switch,Automatic upload,Yes,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,3,,Yes,New hardware,,
43,U.S.A.,East,Sea,"Mount Sinai, NY",An entire day,,No,June-October,Yes,Garmin ,Garmin,,Yes,Garmin,,,Garmin,Yes,Recreational?,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Garmin BlueChart,,,"Garmin, various iPad apps",No,,,,No,Yes,Option to switch,Manual upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,3,,Yes,Updated data,,
44,U.S.A.,East,Sea,"Durham, NH",An entire day,Both a few hours and longer day tripsMay,No,May to late October ,Yes,Garmin 4210,Garmin,,Yes,Garmin,,,Garmin 4210,No,,,,,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Automatic upload,Yes,Yes,More,"If time permitted, I would go beyond 5 nm",Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,Increased Reputation,Certificate of Recognition,Gamification,,All the above other than monetary rewards,1,,Yes,New hardware,,Nope
45,U.S.A.,East,Sea,"Rockport, Maine",Overnight trips,,No,May through October,Yes,Data marine,DataMarine,,Yes,Furuno,,,Faruno,No,,Phone or Tablet Application,,Paper Charts,,,iNavX,,,iNavx,No,,,,Yes,Yes,Option to switch,Manual upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,,Yes,Updated data,,
46,U.S.A.,East,Sea,"Annapolis, MD",Overnight trips,,No,April-November,Yes,TackTick (Raymarine),Raymarine,,Yes,,,,,Yes,B,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,OpenCPN,Garmin BlueChart,,"Garmin 7000, Garmin Mapsource, OpenCPN",No,,,,Yes,Yes,Active data collection,Manual upload,Yes,Yes,More,25nm,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,Gamification,,,2,,Yes,Updated data,,
47,U.S.A.,East,Sea,"Brunswick, GA",Overnight trips,several days offshore,Yes,,Yes,AirMar/Garmin,Garmin,AirMar,Yes,Garmin,,,Garmin,Yes,Vesper 8000 Class B,,,Paper Charts,GPS Chart Plotter,,Garmin BlueChart,,,Garmin 7610,No,,,,Yes,Yes,Option to switch,Automatic upload,It would depend.,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,4,,Yes,New hardware,,
48,U.S.A.,East,Sea,"Portland, Maine",A few hours,,No,,Yes,Raymarine ST60,Raymarine,,Yes,Raymarine,,,Raymarine c80,No,,,,Paper Charts,GPS Chart Plotter,,,,,,No,,,,No,Yes,Passive data collection,Manual upload,It would depend.,No,NaN,,Increased Knowledge,,,,,,,,,,,No,,,
49,U.S.A.,West,Sea,Hilo Hawaii,Overnight trips,"Weeks to months, we are cruisers",No,outside hurricane season,Yes,Garmin 300C,Garmin,,Yes,B & G,,,B&G Zeus 2 MFD with built-in GPS,Yes,Class B,,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,OpenCPN,C-MAP,,OpenCPN and B&G Zeus 2,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,More,Depends on whether I can enjoy the destination,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,,Yes,New hardware,,"I have no hardware that can record depth data, and the cost to obtain hardware that can do this is high. Low end fishfinders are cheap, so an incentive to upgrade would mean I am more willing to participate. Also, please collect data from more than just US waters, as everyone worldwide can benefit from improved data."
50,U.S.A.,East,Sea,"Rock Hall, MD",Overnight trips,,No,May - November,Yes,Datamarine depthsounder,DataMarine,,Yes,Garmin,,,Garmin,No,,,,,GPS Chart Plotter,,Garmin BlueChart,,,Garmin 77x,No,,,,Yes,Yes,Option to switch,Manual upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,,Social Network,,,,,,2,,Yes,Updated data,,
51,U.S.A.,West,Sea,"Olympia, WA",A few hours,,No,April-November,Yes,Navman,Navman,,Yes,Navman,,,Navman,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,iNavX,C-MAP,,"iPad: iNavX, plotter: Navman 6200",No,,,,Yes,Yes,Active data collection,Manual upload,No,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,The chance to contribute to an open hydro dataset,3,,No,,,
52,U.S.A.,East,Sea,"Portland, Maine",Overnight trips,,No,June to September ,Yes,Garmin 740s,Garmin,,Yes,Garmin,,,Garmin 740s,No,,,,,GPS Chart Plotter,,,,,,No,,,,Yes,No,Active data collection,NaN,It would depend.,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,1,,Yes,New hardware,,
53,U.S.A.,East,Sea,"Rockland, Maine",Overnight trips,We cruise aboard full time for half of each year.,Yes,,Yes,"Depth sounder, unsure what make as boat is not here.",,,Yes,Si-Tex,,,siTex SAS-300,Yes,B - full transponder,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Navionics,MX Mariner,C-MAP,Apps:MX Mariner and Navionics. Plotter:SiTex SAS-300 (C-Map charts),Yes,Annually,100 - 200,$179/year for software,Yes,Yes,Option to switch,Automatic upload,It would depend.,Yes,5 nm,,Increased Knowledge,,Streamlined Navigational App,Social Network,,,,,,2,,Yes,New hardware,,"If you research Navionics charting and the Active Captain community, you'll find that what you're proposing is actually already being done. Navionics now collects depth information directly from vessels running the appropriate hardware, and Active Captain is a world-wide crowd-source community of boaters who make hundreds of observations each day in the Active Captain (now owned by Garmin) database."
54,U.S.A.,West,Sea,"Georgetown, Maine ",An entire day,,Yes,,Yes,Garmin,Garmin,,Yes,Garmin,,,Garmin hand held (kayak) 9500 sailboat ,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Garmin BlueChart,,,Garmin ,No,,,,No,Yes,Option to switch,Automatic upload,It would depend.,Yes,NaN,Depends on conditions and whether I am sailing or kayaking ,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,,Yes,New hardware,,
55,U.S.A.,East,Sea,Sugar Barge Bethel Island California,An entire day,,Yes,,Yes,LOWRANCE HDS 7,Lowrance,,Yes,Lowrance,,,LOWRANCE,No,,Phone or Tablet Application,Navigational Software on Laptop,,GPS Chart Plotter,,Navionics,,,Navionics Hotmaps Platinum,Yes,One time,100 - 200,9.95 annualf or phone app and $199. for the card,Yes,Yes,Active data collection,Automatic upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,Increased Reputation,Certificate of Recognition,Gamification,Monetary Reward,corporate donation to the 'Wear it' campaign and special needs communities,6,,Yes,New hardware,,
56,U.S.A.,East,Sea,"Miami Beach, Florida",An entire day,varies between 2-8 hours,Yes,,Yes,vexilar sp 200,Vexilar,,Yes,,,,navionics boating hd,No,,Phone or Tablet Application,,,,,Navionics,,,ipad 3 with navionics boating hd and vexilar sp 200,Yes,Annually,25 - 50,"$ 55 first year, $ 25 after",Yes,Yes,Option to switch,Manual upload,Yes,Yes,More,,Increased Knowledge,Updated Data,Streamlined Navigational App,,,,,,,2,,Yes,Updated data,,
57,U.S.A.,NaN,Sea,Falmouth ma,An entire day,,No,May- October ,Yes,Raymarine Dragonfly,Raymarine,,Yes,Raymarine,,,Raymarine Dragonfly,No,,Phone or Tablet Application,,,GPS Chart Plotter,,Navionics,,,Navionics,Yes,One time,0 - 25,$5 app purchase,Yes,Yes,Option to switch,Automatic upload,Yes,Yes,1 nm,,,Updated Data,,Social Network,,,Gamification,Monetary Reward,,8,,Yes,New hardware,,
