Respondent ID,Collector ID,Start Date,End Date,IP Address,Do you give your consent to participate inÂ the following study?,"Where is your local port (City, State)?","When you go out on your boat, about how long do you typically go out for?",,Do you use your boat year round?,,Do you have depth sounding equipment or a fish finder?,,Do you have a GPS on your vessel?,,Do you have an AIS unit?,,What do you use for navigation?Â (select all that apply),,,,,,Do you pay for your navigation service?,,"If you have a smartphone or tablet, do you always have it on the boat with you?",Would you be willing to share location information from your phone/tablet or other navigation system?,What would you prefer?,What method of data delivery would you be most likely to use?,Would you be willing to slightly detourÂ toÂ collect data if a site of interest showed up along your route?,"Would you beÂ willing toÂ go to locations where data is needed, even if they were out of your way?",What is the maximum distanceÂ you would be willing to travel out of the way to collect data?,,What sort of incentives would motivate you to collect this crowd-sourced data? (select all that apply),,,,,,,,,"Of these listed, which incentive would most interest you? (Insert Number)","Would you be willing to pay a small fee, if in exchange youÂ received new hardware, local seafloor data, or the incentive of your choice?","Of these, for which wouldÂ you most likely pay a small fee?",,"Do you have any concerns about participating in this crowd data collection? If so, please provide a description of your concerns so that we can address them."
6492345453,153009003,11/02/2017 04:53:40 AM,11/02/2017 05:02:20 AM,78.147.160.191,Yes,"Southampton, Hants",Overnight trips,,No,Apr -Nov,Yes,B&G,Yes,Garmin,Yes,B,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,OpenCPN on Raspberry Pi and Laptop & Tablet,No,,Yes,No,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Mail in thumb drive,It would depend on the situation.,No,,,,,"(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,,3,No,,,
6492041451,153009003,11/02/2017 12:05:48 AM,11/02/2017 12:13:53 AM,24.19.110.172,Yes,"Bainbridge Island, WA",An entire day,,Yes,,Yes,Furuno,Yes,Furuno,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Navionics,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,(8) Small monetary rewards for certain tasks,,2,Yes,Updated data for your local area,,"I have several.    I would need details of what is collected, what is uploaded and how that data and my contact information would be used.    I would also like to know what kind of vetting process goes into the collected data."
6491917717,153009003,11/01/2017 10:33:02 PM,11/01/2017 10:38:11 PM,76.118.119.41,Yes,New Bedford Ma.,Overnight trips,,No,April -October,Yes,Data Marine ,Yes,Garmin ,No,,,,Paper Charts,GPS Chart Plotter,,Garmin,No,,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Automatic upload from smartphone or other unit,It would depend on the situation.,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,"(5) The ability to gain and increase reputation: e.g. the better data you collect, the higher reputation score you receive",,,,,5,Yes,New hardware,,
6491490345,153009003,11/01/2017 06:13:25 PM,11/01/2017 06:24:22 PM,174.32.160.43,Yes,"Kemah,Texas",Overnight trips,,Yes,,Yes,Garmin,,,,,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,,Yes,Varies,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,Yes,Yes,More,Iâm a retired Master and would be willing to go wherever along the Gulf Coast as required,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,"(6) The chance to become ""Citizen Hydrographer of the Month"" complete with a letter of recognition",,,,6,Yes,New hardware,,Iâm fine with being a part of a collective effort to improve and enhance maritime safety 
6491436804,153009003,11/01/2017 05:47:01 PM,11/01/2017 05:55:40 PM,107.77.225.111,Yes,"Niantic, CT",An entire day,,No,8,Yes,SimRad and Raymarine,Yes,SimRad,Yes,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,"Skipper, SimRad",No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,2 or 3,Yes,,Either of the above,Data would have to be anonymized upon request.  No selling of data to partners or third parties.  No PII.
6491418830,153009003,11/01/2017 05:38:28 PM,11/01/2017 05:44:13 PM,75.151.114.137,Yes,"Oak Harbor, WA",A few hours,,No,June 1 through September 30,Yes,Lowrance Hook,No,,No,,Phone or Tablet Application,,,,,Blue Chart,No,,Yes,Yes,For the data collection to occur in the backgroud,Manual upload from smartphone or other unit,Yes,Yes,2 nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,,3,Yes,Updated data for your local area,,
6491363543,153009003,11/01/2017 05:11:56 PM,11/01/2017 05:16:35 PM,76.123.3.78,Yes,"Deltaville, Virginia",A few hours,,No,May-Dec,Yes,Raymarine,Yes,Raymarine,No,,,,,GPS Chart Plotter,,,No,,Yes,Yes,For the data collection to occur in the backgroud,Automatic upload from smartphone or other unit,It would depend on the situation.,No,,,(1) The chance to increase the knowledge of our local ports and harbors,,,(4) A social network of mariners working together for science and safety of navigation,,,,,,4,Yes,New hardware,,
6491269422,153009003,11/01/2017 04:31:25 PM,11/01/2017 04:35:11 PM,173.209.185.187,Yes,"Wilmington, NC",A few hours,,Yes,,Yes,,No,,No,,Phone or Tablet Application,Navigational Software on Laptop,,,,,No,,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Automatic upload from smartphone or other unit,It would depend on the situation.,Yes,More,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,"(6) The chance to become ""Citizen Hydrographer of the Month"" complete with a letter of recognition",,,,2,Yes,Updated data for your local area,,
6491240134,153009003,11/01/2017 04:19:44 PM,11/01/2017 04:24:33 PM,75.112.83.114,Yes,"Ponce Inlet, Florida",An entire day,,Yes,,Yes,Garmin GPSMap 541s,Yes,"Garmin GPSMap 541s, Garmin GPSMap 78sc, Furuno GP32",No,,,,,GPS Chart Plotter,,Garmin BlueChart,No,,Yes,No,"Or, an option to switch between background collectionÂ and active participation",Mail in thumb drive,Yes,No,,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,(4) A social network of mariners working together for science and safety of navigation,,,,,,,Yes,Updated data for your local area,,
6491229440,153009003,11/01/2017 04:15:29 PM,11/01/2017 04:22:19 PM,73.3.133.130,Yes,"Bullfrog, UT",An entire day,,No,April/Nob,Yes,,Yes,,No,,,,Paper Charts,GPS Chart Plotter,,No real charts for lake Powell ,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,Yes,5Â nm,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,,,,,,,,Yes,Updated data for your local area,,
6490761811,153009003,11/01/2017 01:22:46 PM,11/01/2017 01:28:28 PM,67.170.18.128,Yes,"Everett, WA",Other (please specify),All of the above....really!,Yes,,Yes,Old Furuno,Yes,Garmin 525 & 455,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,Yes,More,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,"(5) The ability to gain and increase reputation: e.g. the better data you collect, the higher reputation score you receive",,,,,More local knowledge ,Yes,New hardware,,
6490430309,153009003,11/01/2017 11:26:12 AM,11/01/2017 11:30:06 AM,72.215.235.68,Yes,"Newport, RI",A few hours,,No,,Yes,,Yes,,No,,Phone or Tablet Application,,,,,,Yes,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,1,Yes,Updated data for your local area,,
6490012832,153009003,11/01/2017 08:57:03 AM,11/01/2017 09:12:47 AM,100.34.176.60,Yes,"Rock Hall, Maryland",Other (please specify),Both day sails and longer cruises,No,March-November,Yes,Ray marine 60,Yes,"Multiple units: Garmin 546, SH VHF 2200, Bad Elf 200/iPad with INavX, SH 870 handheld, back to the backups Magellan handheld in the dithchbag",Yes,SH 2200VHF/GPS/AIS receiver. No transponder,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,"INavX w/Bad Elf, Garmin 546",Yes,App cost $25,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,Yes,More,"If I were cruising and the collection site wa interesting, I might reroute a whole cruise. New places are good.",(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,"(5) The ability to gain and increase reputation: e.g. the better data you collect, the higher reputation score you receive",,,,,4,Yes,Updated data for your local area,Intrinsic motivation: pushing back the frontiers of his man knowledge.,"I would expect that crowd sourced data would not be used in a proprietary way- that it would be open to public use. Locking mariners out with a pay wall would not work for me.  FYI: I cruise from Md to down east Me, (passing by NJ as quickly as possible) but sail my native NH coast as much as possible."
6489994595,153009003,11/01/2017 08:49:10 AM,11/01/2017 09:00:52 AM,98.167.139.74,Yes,"Phoenix, Arizona",An entire day,,Yes,,Yes,"Hummingbird, Matrix 75",Yes,"Hummingbird, Matrix 75",No,No service in Arizona,,,,GPS Chart Plotter,,There are no NOAA charts of local lakes.,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,(8) Small monetary rewards for certain tasks,I am with the Coast Guard Auxiliary.  There are several thousand of us with boats.  Let us (elp.,Helping make boating safer.,Yes,Updated data for your local area,,I am a bit concerned sbout privacy.  I would need to know that my PII was protected.
6489933194,153009003,11/01/2017 08:20:44 AM,11/01/2017 08:31:34 AM,24.247.198.209,Yes,"Monroe, MI",An entire day,,No,April through October,Yes,Lowrance Hook 7,Yes,Lowrance Hook 7,No,,,,Paper Charts,,,,No,,Yes,Yes,For the data collection to occur in the backgroud,Manual upload from smartphone or other unit,It would depend on the situation.,No,,,(1) The chance to increase the knowledge of our local ports and harbors,,"(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,,3,Yes,New hardware,,
6489878911,153009003,11/01/2017 07:51:32 AM,11/01/2017 07:59:04 AM,74.98.231.113,Yes,Catawba Island OH,Overnight trips,,No,8,Yes,Datamarine,Yes,Garmin,No,,Phone or Tablet Application,,Paper Charts,,,Navionics,Yes,$10,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,Yes,2 nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,(4) A social network of mariners working together for science and safety of navigation,,,,,,2,Yes,New hardware,,
6489876749,153009003,11/01/2017 07:49:27 AM,11/01/2017 07:59:42 AM,73.219.102.78,Yes,Burlington vermont,A few hours,,No,,Yes,,No,,No,,Phone or Tablet Application,,Paper Charts,,,,Yes,$10/year,Yes,Yes,For the data collection to occur in the backgroud,Automatic upload from smartphone or other unit,It would depend on the situation.,Yes,1Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,,Yes,New hardware,,
6489862483,153009003,11/01/2017 07:41:34 AM,11/01/2017 07:50:41 AM,137.54.125.254,Yes,"King George, VA",Overnight trips,,Yes,,Yes,,Yes,,No,,,,,GPS Chart Plotter,,,No,,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Automatic upload from smartphone or other unit,Yes,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,,,Yes,Updated data for your local area,,
6489726164,153009003,11/01/2017 06:14:09 AM,11/01/2017 06:22:59 AM,184.5.252.21,Yes,"Urbanna, VA",An entire day,,Yes,,Yes,,Yes,Navionics tablet ,No,,Phone or Tablet Application,,Paper Charts,,,Navionics ,Yes,$49/ year ,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Automatic upload from smartphone or other unit,It would depend on the situation.,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,,,,,,,1,Yes,New hardware,,
6489715389,153009003,11/01/2017 06:07:29 AM,11/01/2017 06:12:22 AM,24.60.212.77,Yes,"Wareham, MA",Overnight trips,,No,May-October,Yes,Raymarine,Yes,Raymarine,No,,Phone or Tablet Application,Navigational Software on Laptop,,GPS Chart Plotter,,Open CPN, I sail GPS, Raymarine (Navionics),No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,It would depend on the situation.,Yes,1Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,2 or 3,Yes,New hardware
6489636386,153009003,11/01/2017 05:05:20 AM,11/01/2017 05:10:23 AM,173.89.142.161,Yes,"Milwaukee, Wi",Overnight trips,,No,April thru Oct,Yes,Garmin 5212,Yes,Garmin ,Yes,Receiver only,,,,GPS Chart Plotter,,Garmin,No,,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Manual upload from smartphone or other unit,Yes,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,,,,,,,,No,,,This concept is already available they Activecaptain.com and Navtronics charts.
6475364730,153009003,10/25/2017 11:14:47 AM,10/25/2017 11:22:12 AM,23.31.205.201,Yes,"Annapolis, MD",Other (please specify),"All of the above. Sometimes a day sail, sometimes all day, sometimes overnight for a weekend trip",No,Not in Dec - early March,Yes,"We have a depth gauge, nothing fancy just tells us the depth.",Yes,Old not great,No,,Phone or Tablet Application,,,,,"Navionics paid app, chart book",Yes,50/year I think,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,Yes,,1Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,"(5) The ability to gain and increase reputation: e.g. the better data you collect, the higher reputation score you receive","(6) The chance to become ""Citizen Hydrographer of the Month"" complete with a letter of recognition","(7) A game-like environmentÂ for data-collection, such as collecting ""virtual loot"" or discovering virtualÂ lands.",(8) Small monetary rewards for certain tasks,,Hard to say,Yes,New hardware,,
6320036738,153009003,08/01/2017 09:24:43 PM,08/01/2017 09:45:21 PM,71.233.38.229,Yes,"York, Maine",Other (please specify),About 3-5 weeks cruising from York to Acadia NP,No,June-august,Yes,Depth - standard horizon,Yes,Garmin,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Navionics,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,(8) Small monetary rewards for certain tasks,Ability to possibly use some the data to publish other articles,2,Yes,New hardware,Updated info,
6308130060,153009003,07/25/2017 12:25:34 PM,07/25/2017 12:30:48 PM,75.68.40.14,Yes,Salem MA,A few hours,,No,May - Oct.,Yes,Raymarine.  Not sure which model.  Circa 2004.,Yes,Raymarine.  Not sure which model.  Circa 2004.,No,,,,Paper Charts,GPS Chart Plotter,,,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,No,,,(1) The chance to increase the knowledge of our local ports and harbors,,,,,,,,,1,No,,,
6304235891,153009003,07/22/2017 03:52:12 PM,07/22/2017 03:56:46 PM,174.192.27.18,Yes,"Boothbay Harbor, Maine",Overnight trips,,No,,Yes,,Yes,,Yes,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,,No,,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Manual upload from smartphone or other unit,Yes,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,,2,Yes,Updated data for your local area,,
6269866411,153009003,06/30/2017 09:26:52 AM,06/30/2017 09:29:35 AM,197.88.17.83,Yes,"East London, South Africa",An entire day,,Yes,,Yes,,Yes,,Yes,,,,,GPS Chart Plotter,,,No,,Yes,Yes,,Manual upload from smartphone or other unit,Yes,Yes,More,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,,,,,,,,No,,,
